🕘️更新时间,#genre#
2025-07-26 07:25:41,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8

央视频道,#genre#
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV1,http://qjrhc.jydjd.top:2911/udp/224.1.100.89:11111
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV1,http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV2,http://nas.hssvm.com:8888/udp/225.1.1.133:5002
CCTV2,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV3,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
CCTV3,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200
CCTV3,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV4,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV4,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV4,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
CCTV4,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV4,http://qjrhc.jydjd.top:2911/udp/224.1.100.103:11111
CCTV4,http://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv5_1_ud.m3u8
CCTV4,http://39.137.75.234/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV5,http://drive.mxmy.net:8888/udp/239.3.1.173:8001
CCTV5,http://qjrhc.jydjd.top:2911/udp/224.1.100.81:11111
CCTV5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.25:11111
CCTV5+,http://drive.mxmy.net:8888/udp/239.3.1.130:8004
CCTV5+,http://omnix.cn:4000/udp/225.1.8.20:8004
CCTV5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111
CCTV5+,http://nas.hssvm.com:8888/udp/225.1.1.121:5002
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8
CCTV6,http://nas.hssvm.com:8888/udp/225.1.1.195:5002
CCTV6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://drive.mxmy.net:8888/udp/239.3.1.174:8001
CCTV6,http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111
